???,English,??,,,,
~? ? ??,know how to do ,,,,,
??,collaboration (cooperation),??,,,,
???,complications (medical),???,,,,
????,comorbidity,????,,,,
????,"to worry (strong, agonizing worry)",??,,,,
????,to worry (less than ??),??,,,,
~? ????,someone else wants to do ~,,,,,
~? ?? ??,someone else doesn't want to ~,,,,,
???," to increase (by piling up, cumulate)",,,,,
????,to be symbolic (?? - symbol),??,,,,
??????,to be way spicy,,,,,
?? ????,to have a tingling taste,,,,,
????,to be spicy,,,,,
??????,to be pretty spicy,,,,,
??,profusely,,,,,
???,to spill (like tears overflowing),,,,,
??,more (further),,,,,
???,consumer,???,,,,
????,complex (intricate)_,,,,,
???,organic,???,,,,
??,to yawn (not low quality item),,,,,
?? (??),low quality item (not to yawn),??,,,,
??,"appeal (charm, attraction)",??,,,,
????,no benefit at all,????,,,,
??,"a moment ago (just now, recent past)",,,,,
????,to be cheap (sino for ??),??,,,,
????,to be steady,,,,,
??? ??,to bring (??? for ??? ??),,,,,
????,another form of ??? ??,,,,,
??,resentment (bitterness),??,,,,
???,"to ask (beg, request, plead)",,,,,
?????,to be confused,,,,,
??? ????,to eat (???),,,,,
??? ????,to sleep (???),,,,,
??,absence (?? to be absent),??,,,,
??,presence (?? to be present),??,,,,
????,all night long,,,,,
????,four seasons (hanja representation),????,,,,
??,gradually,??,,,,
???? (??),to enlarge (to be enlarged),??,,,,
????,to be special (extraordinary),??,,,,
???,sexual harassment,???,,,,
???,sexual assault,???,,,,
???? ????,to turn down replacement,???? ????,,,,
??,"rage (fury, violent anger, wrath)",??,,,,
????,plan for prevention,?? ??,,,,
????,to replace (change),????,,,,
??? ????,"to change a minister (like Minister of War/Minister of State, etc)",??? ????,,,,
????,to be thorough (exhaustive),????,,,,
????,"impartial (rigid, fair, strict)",????,,,,
???,indifferent,???,,,,
????,to continue (persist),????,,,,
???,newborn baby,???,,,,
??,kid (toddler),,,,,
?? (??),kid (up to 10),?? (??),,,,
???,adolescent,???,,,,
??,young adult,,,,,
??,middle aged adult,??,,,,
??,elder,??,,,,
??,cause of death,??,,,,
??,death (demise),??,,,,
????,"to be horrible (cruseom, horrible)",,,,,
?? ??,self-pity,????,,,,
????,life sentence,????,,,,
??,"fury (rage, violent anger; similar to ??)",??,,,,
??,"miracle (whistle, wonder)",??,,,,
????,evil,????,,,,
????,evil (? is first syllable in this one),????,,,,
???,"lightly (slowly, gently, secretly)",,,,,
?????,"to drop (leave out, leave behind)",,,,,
???,flat rate system,???,,,,
???,rent fee (for a lease),???,,,,
??,sale,??,,,,
??,"scrapping (discard, denouncement)",??,,,,
??,cliff,??,,,,
?? ????,"to roll down (tumble, fall)",,,,,
??,trace (mark),??,,,,
????,to guess,????,,,,
??? ,"to pass over(hand over, speak to)",,,,,
???,to be hammered into (to have something drilled into),,,,,
????,"to be fresh (vivid, graphic)",??,,,,
???,piece of iron,,,,,
????,"substantial (full, solid)",????,,,,
??,dignity (prestige),??,,,,
???,"to be difficult (strenuous, arduous)",,,,,
??,complaining,,,,,
????,to be absorbed,????,,,,
???,installment,???,,,,
???,"naturally (fairly, rightly, justly)",???,,,,
??,seriously (hard; ~~ ?? ??),,,,,
????,play recital,?? ??,,,,
????,to be awkward (embarrassing),????,,,,
??,bulb (light bulb),??,,,,
???,"to insert (stick in, fasten, lace)",,,,,
?????,to be proud,,,,,
??,guy (fellow; highly informal),,,,,
????,recovery from fatigue,?? ??,,,,
????,to be sufficient (similar to ????),????,,,,
??? ???,have posture,??? ???,,,,
??? ????,to suddenly come to senses (come to life),??? ,,,,
4 ??? 2? 6,4+2=6,,,,,
3 ??? 3? 9,3x3=9,,,,,
10 ?? 8? 2,10-8=2,,,,,
10 ??? 2?,10 divided by 2,,,,,
??? ???,"rich get richer, poor get poorer",??????,,,,
??,,,,,,
????,to be absurd,????,,,,
?? ??,to be nervous,?? ??,,,,
????,to be tense,????,,,,
??,sound of an empty stomach,,,,,
?? ???,to pack to the brim,,,,,
??,"deeply (madly, completely - positive)",,,,,
????,very soft,,,,,
??,almost burnt (texture),,,,,
????,as you see (???),,,,,
????,very small,????,,,,
 ??,longevity (?? ???),,,,,
???? (????),60 birthday feast,,,,,
????,opposite of ????,????,,,,
???,"necessities of life (clothing, food, shelter)",???,,,,
????? (?????),"flirt (harass, tease)",,,,,
??????,"to come on to (hit on, make a pass at)",,,,,
???,"flirt (coax, sweet-talk)",,,,,
?? ?? (????),"flirt (hit-on, pick up)",,,,,
?? (?),escape (leaving the scene crime),?? (?),,,,
??,action,??,,,,
??,not guilty,??,,,,
??,guilty,??,,,,
????,sneakthieving (stealing from a house when the occupants aren't there),,,,,
??? ???,"to rage (as in to run rampant, ?????)",,,,,
?? ?? (?? ??),sun sets (moon sets),,,,,
?? ?? (?? ??),sun rises (moon rises),,,,,
??,sunrise,??,,,,
??,sunset,??,,,,
??,moonrise,??,,,,
??,moonset,??,,,,
???? (??),sudden death,??,,,,
?? (??),clerk (errand boy),??,,,,
???,lovestruck (falls in love easily),,,,,
????,"verify (testify, give proof)",????,,,,
???,traitor,???,,,,
????,to be in critical condition  (~ ? ?? - critical condition; ?? ??? ?),????,,,,
??,legally separated,??,,,,
??,"""coming up single"" (???? ?? slang)",,,,,
?? ?? ???,to lose energy (????? ??? ?),,,,,
????,to tow (??),??,,,,
????,to tow (??),????,,,,
????,to dance (sino),??,,,,
~? ?? ???,to depend on ~,,,,,
????,to cast a spell,????,,,,
???,cruise ship,???,,,,
??,one-way,??,,,,
??,round trip,??,,,,
???,tonsillitis,???,,,,
????,osteoporosis,????,,,,
????,help wanted ad,????,,,,
??? ?? ? ?? ?? ??,ADHD,,,,,
??? ???,to have an affair,,,,,
???,to be drunk,,,,,
~? ??,to pick (a fruit),,,,,
??,personnel matters (HR affairs),??,,,,
??,valley,??,,,,
??,vacation to avoid heat ,,,,,
????,leaves changing color in the fall,,,,,
????,unique,????,,,,
??,Buddhist temple,??,,,,
????,to flatter,,,,,
????,to frown,,,,,
?? (??) ??,"to charter (as in ""charter a plane"")",??,,,,
?? (??),war situation,??,,,,
??,1 day,,,,,
??,2 days,,,,,
??,3 days,,,,,
??,4 days,,,,,
??,5 days,,,,,
??,6 days,,,,,
??,7 days,,,,,
???,8 days,,,,,
???,9 days,,,,,
??,10 days,,,,,
???,up to,,,,,
??? + #,from #,,,,,
??,judge,,,,,
??,prosecutor,,,,,
??? (??),defendant,,,,,
??,court,,,,,
??? (??),plaintiff,,,,,
??,death penalty,,,,,
??,verdict,,,,,
???,housewarming,,,,,
????,"life cycle (born, age, sick, death)",,,,,
????,to be lazy,,,,,
????,to be mature,,,,,
????,"to be humble (modest, unassuming)",,,,,
??? ???,to lower one's head (show humility),,,,,
??,to be wide,,,,,
??,to be narrow,,,,,
??,importance (?? ,??,,,,
????,100 battles 100 victories (usu. ref to Adm. Lee),,,,,
???,water fountain,,,,,
??,waterfall,,,,,
????,"inadequate (insufficient, unsatisfactory)",????,,,,
?? ???,coal power plant,?? ???,,,,
??,sleep (slumber),??,,,,
??,drinking water,??,,,,
??? ??,to have no sense of romance,??,,,,
??,hygeine (sanitation),,sino,,,
??? ??,to be treated unfairly (wrongfully accused),,sino,,,
???,adjective,,sino,,,
??,faith,,sino,,,
??,pearl,,,,,
??,manners,,,,,
??,mirror,,,,,
??,words and actions (?? ??),,sino,,,
??,expression (visual),,,,,
??,personality,,,,,
??,siblings,,,,,
??,blood family,,,,,
??,,,,,,
??,,,,,,
??,,,,,,
??,,,,,,
??,,,,,,
??,hot rice water (made from boiling a pot with ??? in it),,,,,
??,,,,,,
??,korean melon (simliar to honeydew),,,,,
??,,,,,,
???,dish-washing,,,,,
???,brunch (3?),,,,,
??,brunch (2?),,,,,
??,,,,,,
??? ??,waiting list,,,,,
??,to be rotten,,,,,
????,to advise,,sino,,,
??,cohabitation,,sino,,,
???,insensibility,,sino,,,
?? ???,ignoring safety (being reckless),,sino,,,
????,"to treat someone (to food, drink, etc)",,sino,,,
????,to reconcile (make up),,sino,,,
??,thumb,,,,,
??,child (pinky finger),,,,,
????,Muism (korean shamanism),,,,,
??,abduction,,sino,,,
??? ???,to lose contact (with someone),,,,,
??? ???,no human trace ,,,,,
?,group (like a flock of birds),,,,,
???,totally (???),,,,,
???,picnic,,,,,
??,rose,,,,,
??,seaweed,,,,,
??,"personality (attitude, character)",,,,,
????,spanish (language),,,,,
??,equivalent to,,,,,
??,IVO,,,,,
????,physical description,,,,,
??,hostage,,,,,
????,"to confess (ie, legal crime)",,,,,
????,"to confess (ie, one's love)",,,,,
??? (???),panel of judges,,,,,
????,"to commit (a crime, an action - ie, ??? ????, ?? ????)",,,,,
???,to report (tell),,,,,
?? ???,to be in critical condition,,,,,
??,headquarters,,,,, 
??,"branch (of a company, bank, etc)",,,,,
???,to perish,,,,,
????,"outdated (obsolete, old)",,,,,
????,to send troops (dispatch troops),,,,,
??,wish,??,,,,
???,to ask (???),,,,,
???,,,,,,
???,,,,,,
????,"two wins, one loss",,,,,
????,,,,,,
???,to be crowded,,,,,
